Reference, Value, Footprint, Datasheet
"X1","XTAL_GND","keyboard_parts:FA-238",""
"C2","22p","Capacitors_SMD:C_0805_HandSoldering",""
"C1","22p","Capacitors_SMD:C_0805_HandSoldering",""
"C3","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C4","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C5","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C6","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C7","4.7u","Capacitors_SMD:C_0805_HandSoldering",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering",""
"R2","10k","Resistors_SMD:R_0805_HandSoldering",""
"J1","USB_mini_micro_B","keyboard_parts:USB_miniB_hirose_5ST_hand",""
"R3","22","Resistors_SMD:R_0805_HandSoldering",""
"R4","22","Resistors_SMD:R_0805_HandSoldering",""
"C8","1u","Capacitors_SMD:C_0805_HandSoldering",""
"U1","ATMEGA32U4","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm",""
"SW1","SW_PUSH","Buttons_Switches_SMD:SW_SPST_TL3342",""
""5"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""6"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""7"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""8"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""9"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""0"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""-"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""="1","KEYSW","TheKeebrary:MX_Plate_100H",""
""\"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""`"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""3"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""4"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""2"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""1"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"ESC1","KEYSW","TheKeebrary:MX_Plate_100H",""
"TAB1","KEYSW","TheKeebrary:MX_Plate_150H",""
""Y"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""U"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""P"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""A"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""S"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""D"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""F"1","KEYSW","TheKeebrary:MX_Plate_100H",""
